city,city_state,state,population,lat,lon,rank,tax_per_capita,investment_per_capita,composite_score,tax_score,investment_score,effectiveness_score,city_pgi
North Las Vegas,"North Las Vegas, NV",NV,287011,36.1989,-115.1175,69,675.2295918367347,1034.4693877551022,48.50368965991875,63.65950513962029,28.75772897825176,33.14534751638534,41.8541938780858
Louisville,"Louisville, KY",KY,628594,38.2527,-85.7585,70,1522.983146067416,1669.741573033708,51.90162677454543,40.9633664455243,46.82130356667507,37.09477365524461,41.626481222481324
Riverside,"Riverside, CA",CA,314998,33.9533,-117.3962,71,758.2193605683838,961.0257548845472,51.445190641163464,61.43769516675178,26.669404365361256,36.56425742286971,41.55711898499425
Richmond,"Richmond, VA",VA,226604,37.5407,-77.436,72,1776.0106382978722,1759.279497098646,54.67131540669752,34.18929038483099,49.36725946923087,40.31398587469283,41.29017857625157
Albuquerque,"Albuquerque, NM",NM,564559,35.0844,-106.6504,73,1023.459051724138,1363.6799568965516,46.50514290550197,54.33667295621899,38.11862940611459,30.822434370744872,41.09257891102615
Miami,"Miami, FL",FL,449514,25.7617,-80.1918,74,2016.32703777336,2042.1222664015909,52.49656393758199,27.755516906982148,57.40971997434377,37.78626979052065,40.98383555728219
Norfolk,"Norfolk, VA",VA,238005,36.8508,-76.2859,75,1383.6653771760157,1460.6286266924565,52.13501648112835,44.69319499007185,40.87530531399922,37.366042774308504,40.97818102612653
Lubbock,"Lubbock, TX",TX,266538,33.5779,-101.8552,76,795.1101783840504,1137.2980062959075,45.69890265616672,60.45005068740447,31.681597618938046,29.885340420059777,40.67232957546743
Tulsa,"Tulsa, OK",OK,413066,36.154,-95.9928,77,1074.4004524886875,1369.9095022624433,46.309906017548506,52.9728649352984,38.295762704213274,30.595510315784058,40.621379318431906
Moreno Valley,"Moreno Valley, CA",CA,217928,33.9425,-117.2297,78,435.5728241563056,736.7095914742451,46.77088199829074,70.07561889238397,20.291111968734583,31.13130321786361,40.49934469299405
Corpus Christi,"Corpus Christi, TX",TX,317773,27.8006,-97.3964,79,795.1101783840504,1117.3294858342078,45.73708705383997,60.45005068740447,31.11380499848485,29.92972218852105,40.49785929147013
Fontana,"Fontana, CA",CA,218390,34.0922,-117.435,80,502.40674955595034,772.8152753108349,43.53964066570114,68.28633469207445,21.317754922986136,27.375627774383883,38.993239129814825
Indianapolis,"Indianapolis, IN",IN,887642,39.7684,-86.1581,81,1789.1289966923923,1836.813671444322,46.903434314987805,33.83808444759245,51.57189611774195,31.28536892498817,38.89844983010752
Cincinnati,"Cincinnati, OH",OH,311097,39.1031,-84.512,82,1795.0663716814158,1740.525442477876,48.83113318833389,33.67912848031017,48.83399943939173,33.525935498592645,38.67968780609818
Modesto,"Modesto, CA",CA,218464,37.6391,-120.9969,83,672.9484902309059,897.2646536412079,41.98790952707241,63.720575008526005,24.856396595087237,25.572048922673595,38.04967350876228
Baton Rouge,"Baton Rouge, LA",LA,225128,30.4515,-91.1871,84,1506.0611111111111,1647.3444444444444,42.507741395163514,41.41640477304057,46.184454965061505,26.176250088967574,37.925703275689884
Fresno,"Fresno, CA",CA,545567,36.7378,-119.7871,85,758.2193605683838,897.2646536412079,42.10919566008101,61.43769516675178,24.856396595087237,25.713019931796563,37.335703897878524
Philadelphia,"Philadelphia, PA",PA,1550542,39.9526,-75.1652,86,3027.05641025641,2830.9897435897433,45.87943530844928,0.6961741232303638,79.84068239452296,30.09517372532407,36.87734341435913
Kansas City,"Kansas City, MO",MO,508090,39.0997,-94.5786,87,1611.15990990991,1732.9222972972973,39.9126970665676,38.60268974676141,48.61780867382915,23.160027140420986,36.793508520337184
Bakersfield,"Bakersfield, CA",CA,413280,35.3733,-119.0187,88,587.6776198934281,821.2122557726466,38.37522323124463,66.00345485030023,22.69389335102545,21.373019568415383,36.69012258991369
Laredo,"Laredo, TX",TX,261776,27.5036,-99.5076,89,593.6096537250787,896.7681007345226,36.64778688558039,65.84464187699055,24.842277418024455,19.36521835649347,36.684045883836156
Hialeah,"Hialeah, FL",FL,223109,25.8576,-80.2781,90,657.7783300198807,922.6093439363816,37.407324523000234,64.12671197892601,25.57705730427062,20.248029808700974,36.65059969729921
New Orleans,"New Orleans, LA",LA,383997,29.9511,-90.0715,91,1803.0444444444445,1787.6666666666667,42.091207542504755,33.46553875834715,50.17443120872908,25.6921123224595,36.44402742984525
Santa Ana,"Santa Ana, CA",CA,309441,33.7455,-117.8677,92,843.4902309058615,990.985790408526,39.4547049244835,59.15481532497756,27.52129958271893,22.627702357377487,36.43460575502466
Milwaukee,"Milwaukee, WI",WI,577222,43.0389,-87.9065,93,1735.5508021390374,1828.9893048128345,34.23965138225708,35.27248496233369,51.349415056032846,16.566239746265428,34.39604658821066
Stockton,"Stockton, CA",CA,322120,37.9577,-121.2908,94,672.9484902309059,880.3641207815276,27.607901571185263,63.720575008526005,24.375840318629063,8.858149464818418,32.31818826399117
Newark,"Newark, NJ",NJ,311549,40.7357,-74.1724,95,1956.3480176211456,1874.8017621145375,31.7183963575698,29.361280932762,52.652064154679195,13.635782188835265,31.883042425425486
Baltimore,"Baltimore, MD",MD,585708,39.2904,-76.6122,96,2550.0546946216955,2373.427529626253,32.643326231350315,13.466509371416585,66.83018174250904,14.7108292238131,31.669173445912907
San Bernardino,"San Bernardino, CA",CA,222203,34.1083,-117.2898,97,672.9484902309059,848.0994671403198,21.044195455960157,63.720575008526005,23.45841469993619,1.2291464477603782,29.46937871874086
Memphis,"Memphis, TN",TN,633104,35.1495,-90.049,98,1275.685307017544,1418.90350877193,17.73040362437342,47.58404768692534,39.68887720139794,0.0,29.090974962774425
Cleveland,"Cleveland, OH",OH,361607,41.4993,-81.6944,99,1582.6438053097345,1619.9612831858406,20.62404195065159,39.36612560826984,45.40583158547078,0.7408015548969686,28.504252916212533
St. Louis,"St. Louis, MO",MO,293310,38.627,-90.1994,100,2068.012387387387,1938.4572072072071,21.914707525648495,26.371791816785,54.4620676571723,2.2409436076961384,27.69160102721781
