city,city_state,state,population,lat,lon,rank,adj_rank,rank_change,city_pgi,adj_city_pgi,tax_score,investment_score,adj_investment_score,effectiveness_score,rpp,col_weight
Tulsa,"Tulsa, OK",OK,413066,36.154,-95.9928,57,72,-15,45.543941120198916,41.44195809533947,55.43460126602109,50.60171177879158,38.295762704213274,30.595510315784058,88.4,0.9785067873303167
North Las Vegas,"North Las Vegas, NV",NV,287011,36.1989,-115.1175,30,73,-43,52.07318196904274,41.39687753323154,62.287556105057504,60.78664228568537,28.75772897825176,33.14534751638534,98.0,0.8826530612244898
Richmond,"Richmond, VA",VA,226604,37.5407,-77.436,83,74,9,31.567192446242377,41.340638849949244,34.340671205924025,20.046920258110283,49.36725946923087,40.31398587469283,103.4,0.8365570599613152
Indianapolis,"Indianapolis, IN",IN,887642,39.7684,-86.1581,78,75,3,35.34449293591584,40.760352969012835,39.42379386430839,35.32431601845096,51.57189611774195,31.28536892498817,90.7,0.9536934950385887
Norfolk,"Norfolk, VA",VA,238005,36.8508,-76.2859,74,76,-2,38.89426307214182,40.744592837324575,43.99243042366599,35.32431601845096,40.87530531399922,37.366042774308504,103.4,0.8365570599613152
Cincinnati,"Cincinnati, OH",OH,311097,39.1031,-84.512,85,77,8,30.99888320700377,40.59457626743092,39.42379386430839,20.046920258110283,48.83399943939173,33.525935498592645,90.4,0.956858407079646
Lubbock,"Lubbock, TX",TX,266538,33.5779,-101.8552,39,78,-39,50.225073510374614,40.523391954792174,60.0032378253787,60.78664228568537,31.681597618938046,29.885340420059777,95.3,0.9076600209863589
Corpus Christi,"Corpus Christi, TX",TX,317773,27.8006,-97.3964,45,79,-34,48.5423790153794,40.348921670794866,60.0032378253787,55.69417703223847,31.11380499848485,29.92972218852105,95.3,0.9076600209863589
Riverside,"Riverside, CA",CA,314998,33.9533,-117.3962,54,80,-26,46.59747449797144,40.317527111310284,57.71891954569989,45.50924652534474,26.669404365361256,36.56425742286971,112.6,0.7682060390763766
Baton Rouge,"Baton Rouge, LA",LA,225128,30.4515,-91.1871,82,81,1,34.06364763408359,39.38118236743606,45.782842048279115,30.23185076500407,46.184454965061505,26.176250088967574,90.0,0.9611111111111111
Moreno Valley,"Moreno Valley, CA",CA,217928,33.9425,-117.2297,34,82,-48,51.0625887531505,39.261567065315866,66.36228600934942,55.69417703223847,20.291111968734583,31.13130321786361,112.6,0.7682060390763766
Philadelphia,"Philadelphia, PA",PA,1550542,39.9526,-75.1652,98,83,15,12.636313888476158,39.24987468665048,7.813767940104398,0.0,79.84068239452296,30.09517372532407,97.5,0.8871794871794871
Kansas City,"Kansas City, MO",MO,508090,39.0997,-94.5786,77,84,-7,35.85641294532828,38.59008874597205,43.99243042366599,40.416781271897854,48.61780867382915,23.160027140420986,88.8,0.9740990990990991
New Orleans,"New Orleans, LA",LA,383997,29.9511,-90.0715,94,85,9,23.2951435615125,38.43011246516566,39.42379386430839,4.769524497769609,50.17443120872908,25.6921123224595,90.0,0.9611111111111111
Fontana,"Fontana, CA",CA,218390,34.0922,-117.435,48,86,-38,47.51640464597059,37.755085694035444,64.5718743847363,50.60171177879158,21.317754922986136,27.375627774383883,112.6,0.7682060390763766
Modesto,"Modesto, CA",CA,218464,37.6391,-120.9969,67,87,-20,41.99735600665005,36.810561114379844,60.0032378253787,40.416781271897854,24.856396595087237,25.572048922673595,112.6,0.7682060390763766
Laredo,"Laredo, TX",TX,261776,27.5036,-99.5076,64,88,-24,43.148779755524835,36.25979005308474,64.5718743847363,45.50924652534474,24.842277418024455,19.36521835649347,95.3,0.9076600209863589
Fresno,"Fresno, CA",CA,545567,36.7378,-119.7871,68,89,-21,41.282906916464775,36.09611202419456,57.71891954569989,40.416781271897854,24.856396595087237,25.713019931796563,112.6,0.7682060390763766
Hialeah,"Hialeah, FL",FL,223109,25.8576,-80.2781,73,90,-17,39.28663397740315,36.03754773934303,62.287556105057504,35.32431601845096,25.57705730427062,20.248029808700974,100.6,0.8598409542743539
